h_c,famous,top,s
1.0,1.0,0.0,4.666666666666667
1.0,0.0,1.0,7.333333333333332
0.0,0.0,1.0,4.333333333333333
1.0,1.0,0.0,6.333333333333332
1.0,0.0,1.0,6.666666666666668
1.0,0.0,0.0,5.666666666666668
1.0,0.0,1.0,6.666666666666668
1.0,0.0,1.0,6.666666666666668
0.0,1.0,1.0,5.666666666666668
1.0,1.0,1.0,6.666666666666668
0.0,0.0,0.0,5.0
0.0,0.0,0.0,4.8
0.0,0.0,0.0,6.0
0.0,0.0,1.0,4.666666666666667
0.0,0.0,0.0,4.666666666666667
1.0,0.0,0.0,6.0
1.0,1.0,0.0,6.666666666666668
1.0,0.0,1.0,7.0
0.0,0.0,0.0,5.333333333333333
1.0,0.0,0.0,7.333333333333332
0.0,0.0,0.0,3.0
1.0,0.0,0.0,6.666666666666668
0.0,0.0,0.0,4.0
1.0,0.0,0.0,6.0
1.0,0.0,1.0,7.0
1.0,0.0,0.0,5.666666666666668
0.0,0.0,0.0,5.333333333333333
1.0,0.0,0.0,4.666666666666667
0.0,0.0,1.0,4.0
1.0,0.0,0.0,5.666666666666668
0.0,0.0,0.0,5.333333333333333
0.0,0.0,0.0,6.333333333333332
0.0,0.0,0.0,2.6666666666666665
1.0,0.0,0.0,6.0
1.0,0.0,0.0,4.0
0.0,1.0,1.0,5.333333333333333
0.0,0.0,0.0,6.0
0.0,0.0,0.0,5.666666666666668
0.0,0.0,0.0,4.0
0.0,0.0,0.0,6.0
0.0,0.0,1.0,5.333333333333333
0.0,1.0,0.0,5.666666666666668
1.0,0.0,1.0,5.666666666666668
1.0,0.0,0.0,6.333333333333332
1.0,0.0,0.0,6.333333333333332
1.0,0.0,1.0,7.0
1.0,1.0,1.0,8.0
1.0,0.0,0.0,6.666666666666668
0.0,0.0,0.0,4.0
0.0,0.0,0.0,4.333333333333333
0.0,1.0,0.0,3.0
0.0,0.0,0.0,2.6666666666666665
0.0,0.0,0.0,4.0
1.0,0.0,0.0,7.333333333333332
0.0,0.0,0.0,3.0
1.0,0.0,0.0,6.333333333333332
1.0,0.0,0.0,5.75
0.0,0.0,1.0,5.333333333333333
1.0,1.0,0.0,6.5
1.0,0.0,0.0,7.0
1.0,0.0,1.0,7.0
1.0,0.0,1.0,7.0
0.0,0.0,0.0,5.333333333333333
0.0,0.0,0.0,5.333333333333333
1.0,1.0,0.0,8.333333333333334
0.0,0.0,0.0,5.0
1.0,0.0,0.0,5.333333333333333
0.0,0.0,0.0,5.0
1.0,0.0,1.0,7.333333333333332
1.0,0.0,1.0,8.333333333333334
1.0,0.0,0.0,6.333333333333332
0.0,0.0,1.0,4.333333333333333
0.0,0.0,0.0,4.0
0.0,0.0,0.0,6.333333333333332
1.0,0.0,0.0,6.333333333333332
1.0,0.0,0.0,7.666666666666668
0.0,0.0,0.0,4.333333333333333
1.0,0.0,0.0,6.666666666666668
0.0,1.0,0.0,3.6666666666666665
1.0,0.0,1.0,5.333333333333333
0.0,1.0,0.0,6.5
1.0,0.0,1.0,7.666666666666668
0.0,0.0,0.0,3.6666666666666665
1.0,1.0,0.0,4.333333333333333
1.0,0.0,1.0,6.0
1.0,1.0,0.0,7.0
1.0,0.0,1.0,6.0
0.0,0.0,0.0,6.333333333333332
0.0,0.0,0.0,5.666666666666668
0.0,0.0,0.0,5.333333333333333
1.0,0.0,0.0,4.666666666666667
1.0,0.0,0.0,7.0
1.0,1.0,0.0,6.0
1.0,1.0,0.0,8.75
1.0,0.0,0.0,7.0
0.0,0.0,0.0,4.666666666666667
0.0,0.0,0.0,5.0
1.0,0.0,0.0,5.666666666666668
1.0,1.0,1.0,5.333333333333333
1.0,0.0,1.0,6.666666666666668
1.0,0.0,0.0,6.333333333333332
1.0,1.0,1.0,7.0
0.0,1.0,1.0,5.666666666666668
1.0,1.0,0.0,6.666666666666668
0.0,0.0,0.0,6.0
0.0,0.0,0.0,5.0
0.0,0.0,0.0,5.333333333333333
1.0,0.0,0.0,7.0
1.0,1.0,0.0,5.0
0.0,0.0,0.0,2.6666666666666665
1.0,0.0,0.0,8.25
1.0,0.0,1.0,7.666666666666668
0.0,0.0,0.0,4.666666666666667
0.0,0.0,0.0,3.333333333333333
1.0,1.0,0.0,6.333333333333332
1.0,0.0,0.0,7.0
0.0,0.0,1.0,5.333333333333333
0.0,1.0,0.0,5.0
0.0,0.0,0.0,3.0
0.0,1.0,0.0,6.25
0.0,0.0,0.0,3.0
1.0,0.0,0.0,5.333333333333333
0.0,1.0,0.0,5.0
1.0,1.0,0.0,5.666666666666668
1.0,1.0,0.0,6.666666666666668
1.0,0.0,1.0,7.666666666666668
0.0,0.0,1.0,4.0
1.0,0.0,0.0,6.666666666666668
1.0,1.0,0.0,7.666666666666668
0.0,0.0,0.0,3.0
0.0,1.0,1.0,4.75
1.0,0.0,0.0,6.0
0.0,0.0,0.0,5.666666666666668
0.0,0.0,0.0,4.0
1.0,0.0,0.0,5.666666666666668
1.0,1.0,0.0,7.0
1.0,0.0,0.0,6.0
0.0,0.0,0.0,6.333333333333332
1.0,1.0,1.0,6.666666666666668
1.0,1.0,1.0,4.0
0.0,0.0,0.0,4.333333333333333
1.0,1.0,1.0,6.666666666666668
0.0,0.0,0.0,4.0
0.0,0.0,1.0,5.333333333333333
0.0,0.0,0.0,4.5
1.0,0.0,0.0,6.666666666666668
1.0,0.0,0.0,6.666666666666668
0.0,0.0,0.0,5.0
1.0,0.0,1.0,6.333333333333332
0.0,0.0,0.0,5.0
1.0,0.0,0.0,7.0
0.0,0.0,1.0,5.25
1.0,0.0,0.0,6.5
0.0,0.0,0.0,6.0
1.0,1.0,0.0,7.75
0.0,1.0,1.0,6.333333333333332
1.0,1.0,1.0,6.333333333333332
0.0,1.0,0.0,3.75
0.0,0.0,1.0,4.0
0.0,0.0,0.0,5.0
0.0,0.0,0.0,6.333333333333332
0.0,0.0,0.0,4.0
1.0,0.0,0.0,7.333333333333332
0.0,0.0,0.0,4.0
0.0,0.0,0.0,4.0
0.0,0.0,0.0,4.333333333333333
0.0,1.0,0.0,5.666666666666668
1.0,0.0,1.0,6.0
1.0,0.0,0.0,4.0
1.0,0.0,0.0,7.0
0.0,0.0,1.0,6.0
1.0,1.0,0.0,8.0
0.0,0.0,1.0,5.5
0.0,0.0,0.0,4.333333333333333
1.0,0.0,0.0,8.0
0.0,0.0,0.0,3.6666666666666665
0.0,0.0,0.0,5.0
0.0,0.0,0.0,3.6666666666666665
1.0,0.0,0.0,7.333333333333332
0.0,0.0,0.0,3.0
1.0,0.0,0.0,6.0
1.0,0.0,0.0,7.666666666666668
0.0,0.0,0.0,6.0
0.0,0.0,1.0,4.333333333333333
0.0,0.0,0.0,2.0
0.0,0.0,0.0,4.0
1.0,0.0,0.0,6.333333333333332
0.0,0.0,0.0,6.0
0.0,0.0,1.0,5.333333333333333
0.0,0.0,1.0,6.0
0.0,1.0,0.0,4.0
0.0,0.0,0.0,3.333333333333333
1.0,0.0,0.0,6.666666666666668
0.0,0.0,0.0,4.666666666666667
1.0,0.0,1.0,5.0
0.0,1.0,0.0,4.666666666666667
1.0,0.0,0.0,6.333333333333332
1.0,0.0,0.0,7.333333333333332
1.0,1.0,0.0,7.333333333333332
0.0,1.0,1.0,6.333333333333332
0.0,0.0,0.0,3.6666666666666665
0.0,0.0,0.0,5.333333333333333
1.0,1.0,0.0,7.0
0.0,0.0,0.0,4.333333333333333
0.0,0.0,0.0,4.666666666666667
1.0,1.0,1.0,7.25
0.0,0.0,0.0,4.5
1.0,1.0,0.0,7.333333333333332
0.0,0.0,1.0,4.666666666666667
0.0,0.0,0.0,4.666666666666667
0.0,0.0,0.0,5.333333333333333
0.0,0.0,0.0,5.0
0.0,0.0,0.0,3.6666666666666665
1.0,0.0,0.0,5.666666666666668
0.0,0.0,0.0,6.0
0.0,0.0,1.0,6.0
0.0,0.0,1.0,3.6666666666666665
1.0,0.0,0.0,7.0
0.0,0.0,1.0,6.333333333333332
0.0,0.0,0.0,3.333333333333333
1.0,0.0,0.0,6.333333333333332
0.0,0.0,0.0,4.333333333333333
0.0,0.0,1.0,4.333333333333333
1.0,1.0,1.0,7.333333333333332
0.0,0.0,1.0,5.333333333333333
0.0,0.0,0.0,4.666666666666667
0.0,0.0,1.0,5.666666666666668
0.0,0.0,0.0,4.333333333333333
1.0,0.0,0.0,5.666666666666668
1.0,0.0,1.0,5.4
1.0,0.0,0.0,6.333333333333332
1.0,0.0,0.0,4.666666666666667
0.0,0.0,0.0,3.0
1.0,0.0,1.0,7.333333333333332
1.0,0.0,0.0,8.333333333333334
1.0,0.0,0.0,4.333333333333333
1.0,0.0,0.0,9.0
0.0,0.0,0.0,5.75
1.0,1.0,0.0,7.0
0.0,1.0,0.0,4.666666666666667
1.0,0.0,0.0,7.0
0.0,0.0,0.0,3.0
1.0,0.0,0.0,5.25
1.0,0.0,0.0,5.666666666666668
1.0,0.0,0.0,7.0
1.0,0.0,0.0,6.666666666666668
1.0,0.0,1.0,5.75
0.0,0.0,0.0,3.333333333333333
0.0,0.0,0.0,6.0
0.0,0.0,0.0,6.333333333333332
1.0,1.0,1.0,6.666666666666668
0.0,1.0,1.0,5.333333333333333
1.0,0.0,0.0,7.0
1.0,0.0,1.0,6.75
1.0,0.0,0.0,6.333333333333332
0.0,0.0,0.0,4.333333333333333
0.0,0.0,0.0,4.666666666666667
1.0,0.0,0.0,6.333333333333332
0.0,0.0,1.0,3.333333333333333
0.0,0.0,0.0,5.25
0.0,0.0,0.0,2.75
1.0,0.0,0.0,5.666666666666668
0.0,0.0,1.0,3.6666666666666665
0.0,0.0,0.0,5.0
0.0,1.0,1.0,3.333333333333333
0.0,1.0,1.0,6.0
1.0,0.0,0.0,6.25
0.0,0.0,0.0,3.6666666666666665
1.0,0.0,0.0,7.666666666666668
1.0,0.0,0.0,7.333333333333332
1.0,0.0,0.0,8.0
0.0,0.0,0.0,4.0
0.0,0.0,0.0,3.333333333333333
1.0,1.0,0.0,7.0
0.0,0.0,1.0,4.333333333333333
0.0,1.0,0.0,5.666666666666668
1.0,0.0,0.0,6.333333333333332
1.0,1.0,0.0,7.333333333333332
1.0,0.0,0.0,7.0
0.0,0.0,0.0,5.0
1.0,0.0,1.0,6.0
0.0,0.0,0.0,4.333333333333333
1.0,0.0,0.0,5.666666666666668
1.0,0.0,0.0,5.333333333333333
0.0,0.0,0.0,3.333333333333333
0.0,0.0,0.0,4.666666666666667
0.0,0.0,1.0,4.5
1.0,0.0,0.0,6.0
1.0,0.0,1.0,6.75
0.0,0.0,0.0,5.333333333333333
1.0,1.0,0.0,7.666666666666668
1.0,1.0,0.0,7.25
1.0,0.0,1.0,6.666666666666668
0.0,1.0,0.0,4.666666666666667
1.0,0.0,0.0,7.0
1.0,0.0,0.0,7.666666666666668
0.0,0.0,0.0,5.0
0.0,0.0,1.0,5.666666666666668
1.0,1.0,1.0,7.0
1.0,1.0,0.0,6.333333333333332
0.0,0.0,0.0,4.333333333333333
1.0,1.0,0.0,8.333333333333334
0.0,0.0,0.0,5.0
0.0,1.0,0.0,4.0
1.0,1.0,1.0,7.0
0.0,0.0,0.0,5.666666666666668
0.0,0.0,1.0,6.333333333333332
0.0,0.0,0.0,4.333333333333333
1.0,1.0,0.0,6.666666666666668
0.0,0.0,0.0,4.333333333333333
0.0,0.0,0.0,4.333333333333333
1.0,0.0,1.0,6.0
0.0,0.0,0.0,6.333333333333332
0.0,0.0,0.0,4.666666666666667
0.0,0.0,0.0,3.0
0.0,0.0,0.0,4.333333333333333
1.0,0.0,0.0,8.0
0.0,0.0,0.0,6.0
1.0,0.0,0.0,5.666666666666668
0.0,1.0,0.0,5.666666666666668
0.0,0.0,0.0,4.666666666666667
0.0,0.0,0.0,4.25
1.0,0.0,0.0,7.666666666666668
1.0,0.0,0.0,5.666666666666668
0.0,0.0,0.0,4.0
0.0,0.0,1.0,4.333333333333333
0.0,1.0,0.0,5.333333333333333
0.0,0.0,0.0,5.666666666666668
1.0,0.0,0.0,6.0
1.0,1.0,0.0,5.666666666666668
0.0,0.0,0.0,5.666666666666668
0.0,0.0,0.0,5.0
0.0,1.0,0.0,6.333333333333332
1.0,0.0,0.0,6.0
0.0,0.0,0.0,4.333333333333333
1.0,0.0,0.0,5.333333333333333
1.0,0.0,0.0,6.666666666666668
1.0,1.0,0.0,6.666666666666668
1.0,1.0,1.0,7.0
1.0,0.0,0.0,6.0
0.0,0.0,0.0,5.666666666666668
1.0,0.0,0.0,6.0
1.0,0.0,1.0,7.0
1.0,1.0,1.0,6.333333333333332
0.0,0.0,1.0,3.333333333333333
0.0,0.0,1.0,5.75
1.0,0.0,0.0,7.0
0.0,0.0,0.0,4.0
0.0,1.0,1.0,5.0
0.0,1.0,0.0,5.333333333333333
1.0,0.0,0.0,7.0
1.0,0.0,0.0,6.666666666666668
1.0,1.0,0.0,6.666666666666668
1.0,0.0,0.0,8.333333333333334
1.0,0.0,0.0,6.666666666666668
1.0,1.0,0.0,7.0
0.0,1.0,0.0,5.0
1.0,0.0,0.0,6.666666666666668
0.0,0.0,0.0,3.333333333333333
0.0,0.0,0.0,5.0
1.0,0.0,1.0,7.0
0.0,0.0,0.0,6.0
1.0,0.0,0.0,6.666666666666668
1.0,0.0,0.0,7.333333333333332
1.0,0.0,0.0,6.666666666666668
1.0,0.0,1.0,7.333333333333332
1.0,0.0,0.0,7.5
1.0,0.0,0.0,7.0
1.0,0.0,0.0,7.0
1.0,0.0,0.0,8.0
0.0,0.0,0.0,5.333333333333333
0.0,0.0,0.0,3.333333333333333
0.0,0.0,0.0,6.0
0.0,0.0,0.0,5.333333333333333
0.0,0.0,0.0,4.333333333333333
0.0,1.0,0.0,5.666666666666668
1.0,1.0,1.0,7.666666666666668
1.0,0.0,0.0,6.666666666666668
1.0,0.0,1.0,6.333333333333332
0.0,0.0,0.0,6.0
0.0,0.0,0.0,5.333333333333333
1.0,0.0,1.0,7.0
1.0,1.0,1.0,6.333333333333332
1.0,0.0,0.0,6.333333333333332
0.0,0.0,1.0,4.666666666666667
1.0,0.0,1.0,7.666666666666668
0.0,0.0,0.0,4.666666666666667
1.0,0.0,1.0,7.0
0.0,0.0,0.0,3.333333333333333
0.0,0.0,0.0,5.666666666666668
0.0,0.0,1.0,4.333333333333333
0.0,1.0,1.0,3.333333333333333
1.0,1.0,0.0,7.333333333333332
0.0,0.0,0.0,4.0
1.0,0.0,0.0,7.0
1.0,1.0,0.0,6.0
0.0,0.0,0.0,3.0
1.0,0.0,1.0,7.0
1.0,0.0,1.0,6.333333333333332
1.0,0.0,0.0,5.333333333333333
0.0,0.0,0.0,6.25
0.0,1.0,0.0,5.666666666666668
1.0,1.0,0.0,6.0
0.0,0.0,0.0,6.0
0.0,0.0,0.0,4.333333333333333
1.0,0.0,0.0,5.0
1.0,0.0,0.0,5.666666666666668
0.0,0.0,1.0,4.666666666666667
1.0,1.0,0.0,7.5
1.0,0.0,0.0,6.75
0.0,0.0,0.0,5.666666666666668
1.0,0.0,1.0,5.333333333333333
1.0,0.0,0.0,6.333333333333332
1.0,0.0,0.0,8.0
1.0,1.0,1.0,6.666666666666668
0.0,0.0,0.0,5.0
0.0,0.0,0.0,5.0
1.0,1.0,0.0,5.666666666666668
0.0,0.0,0.0,5.333333333333333
0.0,0.0,0.0,5.333333333333333
1.0,0.0,1.0,8.333333333333334
0.0,0.0,0.0,4.0
1.0,0.0,1.0,6.333333333333332
1.0,1.0,0.0,7.666666666666668
0.0,1.0,1.0,5.75
1.0,0.0,0.0,7.666666666666668
1.0,1.0,0.0,5.333333333333333
0.0,0.0,0.0,5.333333333333333
0.0,1.0,0.0,4.666666666666667
1.0,0.0,0.0,6.333333333333332
0.0,0.0,0.0,4.0
0.0,0.0,0.0,3.6666666666666665
1.0,0.0,0.0,7.666666666666668
1.0,1.0,1.0,9.666666666666666
0.0,0.0,0.0,4.666666666666667
1.0,0.0,0.0,8.0
0.0,0.0,0.0,6.0
1.0,1.0,1.0,8.0
1.0,0.0,0.0,6.666666666666668
1.0,0.0,0.0,7.666666666666668
0.0,0.0,0.0,4.333333333333333
1.0,1.0,1.0,6.666666666666668
1.0,1.0,0.0,6.0
0.0,0.0,0.0,4.666666666666667
1.0,0.0,1.0,7.333333333333332
1.0,0.0,0.0,4.333333333333333
1.0,0.0,0.0,6.0
0.0,1.0,1.0,4.333333333333333
0.0,0.0,0.0,5.5
1.0,0.0,0.0,6.25
0.0,0.0,1.0,5.0
0.0,0.0,0.0,3.333333333333333
1.0,1.0,0.0,6.25
0.0,0.0,0.0,6.0
0.0,0.0,0.0,5.333333333333333
1.0,1.0,0.0,7.0
0.0,0.0,0.0,5.666666666666668
1.0,0.0,0.0,7.666666666666668
1.0,0.0,0.0,7.333333333333332
1.0,1.0,1.0,7.0
1.0,0.0,0.0,6.333333333333332
1.0,0.0,0.0,7.0
1.0,0.0,0.0,7.333333333333332
0.0,0.0,0.0,5.0
0.0,0.0,0.0,5.5
0.0,0.0,0.0,4.5
1.0,0.0,0.0,7.0
1.0,1.0,0.0,7.0
1.0,0.0,1.0,6.666666666666668
0.0,0.0,0.0,5.0
1.0,1.0,1.0,7.25
1.0,0.0,1.0,5.6
0.0,0.0,1.0,6.0
0.0,0.0,0.0,4.0
0.0,0.0,0.0,3.6666666666666665
0.0,1.0,0.0,4.0
1.0,0.0,1.0,7.333333333333332
0.0,0.0,0.0,3.0
0.0,0.0,0.0,5.333333333333333
1.0,0.0,0.0,7.666666666666668
0.0,0.0,0.0,5.0
0.0,0.0,0.0,3.6666666666666665
0.0,0.0,0.0,3.6666666666666665
0.0,0.0,0.0,5.25
1.0,1.0,1.0,7.333333333333332
0.0,0.0,1.0,4.333333333333333
1.0,0.0,0.0,5.0
1.0,1.0,0.0,6.666666666666668
